"",,,,,Previous Retail,September 2020,September 2020,September 2020,September 2020
SKU,Product Name by Product Category,Previous PV,Previous BV,Previous IBOC,,,,,
"",,,,,Price,PV,BV,IBOC,Retail Price
110628,XSTM Protein Crisps - Sriracha Lime,10.80,27.54,32.40,36.00,9.15,23.72,27.90,31.00
110631,XSTM CocoWater – Pineapple Coconut,8.40,21.42,25.20,28.00,6.79,17.60,20.70,23.00
110638,XSTM Sports Nutrition Use1Share1 Bundle,63.33,133.00,190.00,210.00,60.79,129.25,185.40,206.00
110815,XSTM Sports Nutrition Protein Powder – Cookies and Cream,16.50,42.08,49.50,55.00,16.23,42.08,49.50,55.00
110845,XSTM Energy Bars – Blueberry Crunch Bar,9.90,25.25,29.70,33.00,8.26,21.42,25.20,28.00
110847,XSTM Muscle Multiplier Essential Amino Acid Supplement – Wildberry flavored,16.50,49.50,49.50,55.00,13.28,40.50,40.50,45.00
110862,XSTM Muscle Multiplier Essential Amino Acid Supplement – Dragon Fruit,16.50,49.50,49.50,55.00,13.28,40.50,40.50,45.00
124651,XSTM Juiced and Burn - Variety Case,8.90,26.70,26.70,30.00,7.67,23.40,23.40,26.00
124652,XSTM Energy Drink - Variety Case,8.04,24.24,24.24,27.00,7.08,21.60,21.60,24.00
293053,XSTM Caffeine-Free Sparkling Juiced Energy - Mango Pineapple Guava,8.04,24.24,24.24,27.00,7.08,21.60,21.60,24.00
296417,XSTM Energy Cafe - Mocha - Pallet,"2,205.00","6,615.00","6,615.00","7,350.00","1,788.62","5,455.30","5,455.30","6,061.44"
296498,XSTM CBD Cool Spray,16.50,49.50,49.50,55.00,16.23,49.50,49.50,55.00
124651,XSTM Juiced and Burn - Variety Case,8.90,26.70,26.70,30.00,7.67,23.40,23.40,26.00
748787,XSTM Energy Drink - Cranberry-Grape - Pallet,"1,800.96","5,429.76","5,429.76","6,048.00","1,300.82","3,967.49","3,967.49","4,408.32"
